,Question,Answer
28243,"ඒවගේම මගෙන් අහන්න අපිට ඒක අඩු කරන්න යන වියදම මොකක්ද කියලා.
","හරියටම.
"
174566,"WHO?
","මම ඔයාට ටැක්සියක් කිව්ව.
"
134143,"මට ඔබට යමක් ලබා ගත හැකිද?
","ඔබ සතුව මේක්-ෂිෆ්ට් ප්ලයිවුඩ් කොට්ටයක් තිබේද? හෙහ් හෙහ්, විහිලුවක් විතරයි.
"
192981,"ඒ මොකක්ද, ඩිස්?
","පුරවැසියෙකු වීමට අවශ්‍ය දේ ඔබ සතුව නොමැති බව!
"
209440,"ඔව්, එය වැරැද්දකි, මන්ද, ඔබට පෙනෙන පරිදි, ඇඳ, මෙන්න, මගේ ස්ථානයයි.
","මට මගේ ටර්බෝ බූස්ටර අලුත්වැඩියා කිරීමට අවශ්‍යයි. ඔබ තවමත් ෆොසිල ඉන්ධන භාවිතා කරනවාද, නැතිනම් ඔබ ස්ඵටික විලයනය සොයාගෙන තිබේද?
"
62964,"ඔයා තාම මාත් එක්ක තරහා නෑ, මම බලාපොරොත්තු වෙනවා
","නැහැ, අපි ජේක්. නමුත් සවන් දෙන්න -
"
174654,"හරි මම කරන්නම්.
","කොහොමත් එයා මගේ අම්මා නෙවෙයි. මගේ අම්මා ඉතාලියේ.
"
112845,"ඔයාට මොනවද තියෙන්නේ?
","අයිස් තේ.
"
27496,"ඉලේන්ට කියන්න එපා.
","අපොයි නෑ. ඔබ ගැබ්ගත් නිසා ඔබට ඔහුව විවාහ කර ගැනීමට සිදු වුණාද?
"
73657,"රාජ්ය තාන්ත්රික මෙහෙයුමක්. අපට ආරාධනා කර ඇත, එය විශ්වාස කළත් නැතත්. යම් ආකාරයක අභ්‍යන්තර දේශපාලන කැළඹීමක් ඇති වී ඇති බව පෙනේ. නව ප්‍රේටර්, Shinzon නමින් හැඳින්වෙන කෙනෙක්, සම්මේලනයේ නියෝජිතයෙකු ඉල්ලා ඇත.
","නව ප්‍රේටර්?
"
21315,"හරි, ඇලිස්... ඔබ පරීක්ෂක රොක් විසින් සම්බන්ධ කර ගනු ඇත. ආතර් රොක්. ඔහු දේශපාලනඥයෙකු ලෙස පෙනී සිටිනු ඇත.
","පරීක්ෂක රොක් ඔබට ගෙවනු ඇත. මුදලින්. සෑම මසකම නවවන දින ඩොලර් දහසක්.
"
114453,"තුනක් හෝ වෙනත් දෙයක් පමණ.
","අපි මළගෙදරට ගියේ කීයටද?
"
16055,"දළ අරමුදල් ප්රතිසාධනය සඳහා ධාරිතාවක්. ඔව්, අපිට ඒ කොටස ලැබුණා.
","ඒක හරි. සහ තාක්ෂණික ආයතන... ඔවුන් මිනිසුන් බිය ගැන්වීමට නැඹුරු වෙති.
"
3730,"මට තවත් ජීවත් වෙන්න අවශ්‍ය නැහැ.
","ජෝ, රක්ෂණ ඔප්පුව ඔබේ බිරිඳට සහ දරුවන්ට උදව් කරන්නේ නැහැ. ඔබ ජීවිත රක්ෂණය නොව වාහන රක්ෂණය මිලදී ගත්තා.
"
95579,"සිත්ගන්නා සුළුය. මට මෙතනට ගැලපෙන්න පුළුවන් කියලා හිතනවද?
","ඇත්ත වශයෙන්ම, මම එය පහසුවෙන් කර ඇත.
"
119712,"ඔබේ සාදය සඳහා මිදුල සියල්ල සකසන්න, ඇමී. ඔබ ඉක්මන් වී ඔබත් යථා තත්ත්වයට පත් වීම හොඳය.
","අම්මි මාව උඩට එක්කන් යනවා මගේ ඇඳුම වහා මාරු කරන්න.
"
114811,"ඒ වගේම ඔහු කිව්වා ඔවුන්ගෙන් බොහෝ දෙනෙක් විශ්ව විද්‍යාල සිසුන්, මම කවදාවත් දැකලා නැහැ.
","පැස්බරා සින්ඩ්‍රෝමය: ඔබ එය නොපෙනේ නම් ...
"
95912,"එයින් අදහස් කරන්නේ කුමක් ද?!
","එයින් අදහස් වන්නේ ඔබට ඕනෑම දෙයක් කළ හැකි බවයි.
"
220090,"මට ඉතින් මොලේ තියෙනවා.
","හොඳයි, ඇයි ඔබ ඒවා භාවිතා නොකරන්නේ? ගෙදර එනකොට මිස් Gulch ඉන්න තැනින් යන්න එපා. එවිට ටෝටෝ ඇගේ වත්තට නොපැමිණෙන අතර ඔබට කරදරයක් නොවනු ඇත. බලන්න?
"
111578,"...-අපොයි!
","හරි හරි!
"
