Questions,
What do you think about the current situation in this country?,රටේ දැන් තත්වය ගැන ඔයාය මොකද හිතෙන්නෙ?
How is your best friend?,ඔයාගෙ යාලුවට කොහොම ද?
How many girl friends do you have?,ඔයාට පෙම්වතියක් ඉන්නවාද?
How many sisters do you have?,ඔයාට සහෝදරියක් කී දෙනෙක් ඉන්නවාද?
Do you like want a living together relationship or a married life?,ඉතිං කොහොමද
What is your favourite food?,ඔයා කසාද බැදලද ඉන්නෙ?
Do you like to share your food with me?,ඔයා කැමතිම කෑම මොකක්ද?
Can you give me a phone call?,මට කතා කරන්න පුලුවන් ද?
Do aliens exist?,දැන් වෙලාව කීයද?
Do you like pizza?,ඔයා පිටරට ගිහින් තියෙනව ද?
How old are you?,ඔයාගෙ ගෙදර අය කොහෙද?
are you married?,ඔයා තනියම ද ඉන්නෙ?
Do you have friends?,මගෙ යාලුව වෙන්න පුලුවන් ද ඔයාට?
Are you ok?,ඔයා පීසා වලට කැමති ද?
What is your phone number?,ඔයා කාල ද ඉන්නෙ?
Where do you live?,ඔයා ඉගෙන ගන්න කැමති ද?
Are you male or female?,ඔයාගෙ යාලුවො කවුද?
What is your address?,ඔයා හොදින් ද?
Can you help me?,මට ඔයාගෙ දුරකතන අංකය ගන්න පුලුවං ද?
Can you tell me a joke?,ඔයා ජීවත් වෙන්නෙ කොහෙද?
why are you funny?,ඔයාගෙ ලිපිනය මොකද්ද?
What is your job?,මට උදව් කරන්න පුලුවං ද ඔයාට?
Do you have a job?,මට විහිලුවක් කරන්න.
Who is chandler?,ඔයා හරිම විනෝදයි.
Can you leave me alone?,ඔයාගෙ රැකියාව මොකද්ද?
LEt's havea drink?,ඔයාට රැකියාවක් තියෙනව ද?
Did you had your dinner?,මට කරදර කරන්න එපා.
What is the time now?,අපි මොනවහරි බොමුද?
Are you a cat personm or a dog person?,දැං වෙලාව කීයද?
What's your biggest fear?,ඔයා පූසන්ට කැමති ද?
How do you like to be comforted when you're sad or upset?,ඔයා වැඩියෙන්ම බය මොනවටද?
What’s your all-time favorite memory?,ඔයාට දුක හිතුනම ඔයා මොනවද කරන්නෙ?
Who was the last person to make you cry and why?,ඔයාගෙ හොදම මතකය මොකක්ද?
When have you felt the most challenged?,ඔයාව අන්තිමට ඇඩෙව්වෙ කවුද?
What do you think happens when we die?,අපි මැරුනම මොකද වෙන්නෙ?
Do you believe in soulmates?,ඔයා හොදම යාලුවන්ව විස්වාස කරනව ද?
How did your parents meet?,ඔයාගෙ දෙමව්පියන්ව දන්නවද?
Where do you want to travel the most?,ඔයාගෙ අම්ම කොයි?
Do you like roller coasters?,ඔයාගෙ තාත්තා කොයි?
Who was your very first crush?,ඔයා අභියෝග වලට කැමති ද?
Do you believe in ghosts?,ඔයා වැඩියෙන්ම යන්න කැමති කොහෙද?
What's your absolute dream job?,ඔයා විනෝද වෙන්න කැමති ද?
Do you have any hidden talents?,ඔයා භූතයෝ විස්වාස කරනව ද?
Who always makes you laugh?,ඔයාට ආදරයක් තියෙනව ද?
What’s a bad habit you’re trying to break?,ඔයාගෙ සිහින රැකියාව මොකක්ද?
"If you could time travel, where would you go?",ඔයාගෙ හැකියාවන් මොනවද?
Do you consider yourself religious or spiritual?,ඔයාගෙ දුබලතා මොනව ද?
What do you think your best quality is?,ඔයාව නිතරම සතුටින් තියන්නේ කවුද?
Are you a morning person or a night owl?,ඔයාට නරක පුරුදු තියෙනව ද?
Where do you want to travel the most?,ඔයාට අනාගතය දකින්න පුලුවං ද?
What do you do when no one else is around?,ඔයාට අතීතය මතකයි ද?
what makes you cry?,ඔයාට ආගමක් තියෙනව ද?
Do you love me?,ඔයාගෙ හොදම ගුනාංගය මොකද්ද ?
Where do youlive?,ඔයා උදේම අවදි වෙනවද?
Why you cheat on girls?,ඔයා රෑට නිදාගන්නවද?
Do you have any plans?,ඔයාට සුරතලෙක් ඉන්නවද?
Do you prefer tea?,ඔයා මට ආදරෙයිද?
May I help you?,ඔයා දැං මොකද කරන්නෙ?
What is your occupation?,මං ඔයාට උදව් කරන්න ද?
Who is your favourit girlfriend?,ඔයා තේ වලට කැමතිද?
What are you doing?,ඔයාගෙ හොදම යාලුවා කවුද?
,ඔයාට දුකයිද?
,ඔයාට සතුටුයි ද?
,ඔයාට බඩගිනි ද?
,ඔයාට තිබහයි ද?
,ඔයාට වතුර ඕනෙ ද?
